,testdata,fea,k,ari,f1,labled,acc
f_20_10Xv2,10Xv2,f,20,0.3454162048654274,0.6079907506360338,0.12612903225806452,0.9557910120569967
f_50_10Xv2,10Xv2,f,50,0.28577648808902917,0.6707692755137408,0.29737327188940094,0.9465364946536494
f_80_10Xv2,10Xv2,f,80,0.31098494239617186,0.7147814884709273,0.3266359447004608,0.9308690744920993
f_100_10Xv2,10Xv2,f,100,0.2933981029448134,0.7337373909674043,0.31944700460829495,0.9306116560877091
f_150_10Xv2,10Xv2,f,150,0.2985829220894217,0.7351860939678946,0.3102304147465438,0.922756981580511
f_200_10Xv2,10Xv2,f,200,0.3017061924111964,0.7431703071631711,0.3036405529953917,0.9250265594172105
f_250_10Xv2,10Xv2,f,250,0.18885461947385973,0.5588688793333134,0.22963133640552996,0.8914308649407987
f_300_10Xv2,10Xv2,f,300,0.19152755049066492,0.5683321244233416,0.23170506912442396,0.8933969769291965
chi2_20_10Xv2,10Xv2,chi2,20,0.18009204706402876,0.4812666635926306,0.0988479262672811,0.9627039627039627
chi2_50_10Xv2,10Xv2,chi2,50,0.0561829480756151,0.5018558745624433,0.18640552995391704,0.9453646477132263
chi2_80_10Xv2,10Xv2,chi2,80,0.05815973326510697,0.5000976574864194,0.19138248847926267,0.9383578136287022
chi2_100_10Xv2,10Xv2,chi2,100,0.061480709622431455,0.5388743013179048,0.21746543778801844,0.9109980928162746
chi2_150_10Xv2,10Xv2,chi2,150,0.11395367066249604,0.5536936956205559,0.22423963133640554,0.898479243732018
chi2_200_10Xv2,10Xv2,chi2,200,0.11590892550824371,0.5775717903069225,0.23488479262672812,0.9015106925642535
chi2_250_10Xv2,10Xv2,chi2,250,0.11612085185611787,0.5807416024868108,0.23944700460829493,0.9058891454965358
chi2_300_10Xv2,10Xv2,chi2,300,0.1116365165435351,0.5745012649882816,0.24087557603686635,0.906829921561125
MATTE_20_10Xv2,10Xv2,MATTE,20,0.2083776836074064,0.5706737930007312,0.21391705069124423,0.9133993968117191
MATTE_50_10Xv2,10Xv2,MATTE,50,0.37392524556113765,0.7625989552169902,0.4817511520737327,0.9424143868375742
MATTE_80_10Xv2,10Xv2,MATTE,80,0.37381474468170184,0.8353438351741085,0.7164976958525345,0.9340751222022124
MATTE_100_10Xv2,10Xv2,MATTE,100,0.37123591004749196,0.8556249803610796,0.715668202764977,0.939407598197038
MATTE_150_10Xv2,10Xv2,MATTE,150,0.38040961528498785,0.9279402052198488,0.6971889400921659,0.9445435917773812
MATTE_200_10Xv2,10Xv2,MATTE,200,0.34268425430184357,0.9425436378232613,0.6885714285714286,0.9461250167313613
MATTE_250_10Xv2,10Xv2,MATTE,250,0.48831570165079147,0.9376412742987715,0.7047926267281106,0.9468418987838368
MATTE_300_10Xv2,10Xv2,MATTE,300,0.3517676284988559,0.943935507421751,0.6947926267281106,0.9476686343437023
NB_20_10Xv2,10Xv2,NB,20,0.031229950976962968,0.49934980494148246,0.017741935483870968,0.9974025974025974
NB_50_10Xv2,10Xv2,NB,50,0.04241474406580049,0.49844479004665626,0.029723502304147466,0.993798449612403
NB_80_10Xv2,10Xv2,NB,80,0.04222729200425493,0.4922279792746114,0.004516129032258065,0.9693877551020408
NB_100_10Xv2,10Xv2,NB,100,0.04165474622705518,0.6655791190864601,0.028525345622119815,0.9935379644588045
NB_150_10Xv2,10Xv2,NB,150,0.042080857912446125,0.6656641604010024,0.030921658986175115,0.9940387481371088
NB_200_10Xv2,10Xv2,NB,200,0.04184517158349941,0.6657730116175157,0.03705069124423963,0.9950248756218906
NB_250_10Xv2,10Xv2,NB,250,0.032108348763811495,0.6657765910102359,0.037142857142857144,0.9950372208436724
NB_300_10Xv2,10Xv2,NB,300,0.04235157236831703,0.49122807017543857,0.001336405529953917,0.9655172413793104
M3_20_10Xv2,10Xv2,M3,20,0.18897658454227914,0.595923099111283,0.18078341013824883,0.9304104002039255
M3_50_10Xv2,10Xv2,M3,50,0.022938774122224684,0.5219876428905875,0.20456221198156682,0.9378238341968912
M3_80_10Xv2,10Xv2,M3,80,0.022986868055340837,0.5239989599428033,0.21903225806451612,0.9324637071323375
M3_100_10Xv2,10Xv2,M3,100,0.02456062029594422,0.5271561500038275,0.23202764976958526,0.8983118172790466
M3_150_10Xv2,10Xv2,M3,150,0.060206262823152175,0.5596930651720239,0.21741935483870967,0.9162780839338703
M3_200_10Xv2,10Xv2,M3,200,0.06408902174709105,0.5529401983485345,0.22617511520737327,0.9160554197229014
M3_250_10Xv2,10Xv2,M3,250,0.06518344650816467,0.5448944189678847,0.23184331797235022,0.9107533293579805
M3_300_10Xv2,10Xv2,M3,300,0.15486125530566078,0.5389014764887925,0.23202764976958526,0.9070506454816286
HV_20_10Xv2,10Xv2,HV,20,0.004661124287533723,,0.0,
HV_50_10Xv2,10Xv2,HV,50,0.0023478384312510077,,0.0,
HV_80_10Xv2,10Xv2,HV,80,0.008523052535279487,,0.0,
HV_100_10Xv2,10Xv2,HV,100,-0.001955341836586915,,0.0,
HV_150_10Xv2,10Xv2,HV,150,0.005661436810156343,,0.0,
HV_200_10Xv2,10Xv2,HV,200,0.006017915202930876,,0.0,
HV_250_10Xv2,10Xv2,HV,250,0.017700191776375118,0.5519323671497585,0.004470046082949309,0.9690721649484536
HV_300_10Xv2,10Xv2,HV,300,-0.001992961727528848,,0.0,
zscore_20_10Xv2,10Xv2,zscore,20,0.18089319533228673,0.31196154900623846,0.08645161290322581,0.9136460554371002
zscore_50_10Xv2,10Xv2,zscore,50,0.17795571814829153,0.423524035876977,0.09926267281105991,0.9285051067780873
zscore_80_10Xv2,10Xv2,zscore,80,0.1806936394013525,0.4116125824053633,0.11585253456221198,0.9343675417661098
zscore_100_10Xv2,10Xv2,zscore,100,0.17456102787529332,0.4424697399231728,0.12700460829493088,0.9306966618287373
zscore_150_10Xv2,10Xv2,zscore,150,0.17634511406934228,0.45274259343622836,0.12792626728110598,0.9322766570605188
zscore_200_10Xv2,10Xv2,zscore,200,0.17907153680592347,0.45365209374305976,0.1362672811059908,0.9323638823131553
zscore_250_10Xv2,10Xv2,zscore,250,0.17993770233880813,0.45281209221101165,0.14023041474654377,0.9316464015773908
zscore_300_10Xv2,10Xv2,zscore,300,0.13522140598587715,0.4662619712553348,0.13391705069124424,0.9325533379215416
ENT_20_10Xv2,10Xv2,ENT,20,0.13235160210062796,0.35637794566017333,0.014884792626728111,0.8668730650154799
ENT_50_10Xv2,10Xv2,ENT,50,0.190567874201241,0.6753138798071984,0.15539170506912442,0.9240806642941874
ENT_80_10Xv2,10Xv2,ENT,80,0.23373719275923815,0.6214483139135693,0.23672811059907833,0.896437609499708
ENT_100_10Xv2,10Xv2,ENT,100,0.23369069319404062,0.6207280658701855,0.23815668202764978,0.8958978328173375
ENT_150_10Xv2,10Xv2,ENT,150,0.2335488551476599,0.6206857964291383,0.23995391705069125,0.8953332053005569
ENT_200_10Xv2,10Xv2,ENT,200,0.23432008230722753,0.6211615496045604,0.23972350230414746,0.8948481353325644
ENT_250_10Xv2,10Xv2,ENT,250,0.2335565705709574,0.6211340408065756,0.23820276497695853,0.8959179725285356
ENT_300_10Xv2,10Xv2,ENT,300,0.23379405803617828,0.6210278609933853,0.2366820276497696,0.8960280373831776
f_20_10Xv3,10Xv3,f,20,0.16653357984547926,0.6005231293225101,0.13850935005090287,0.9415860735009671
f_50_10Xv3,10Xv3,f,50,0.26822382156024166,0.6920158903825548,0.3238493275464823,0.9354731965585705
f_80_10Xv3,10Xv3,f,80,0.28142305081912744,0.7567390907930971,0.328939613138295,0.9275126242058968
f_100_10Xv3,10Xv3,f,100,0.27985015543361647,0.7884456220178725,0.3161871081819643,0.9281477715641416
f_150_10Xv3,10Xv3,f,150,0.29714598935741915,0.7656201122931529,0.3146868134812195,0.9221862761791249
f_200_10Xv3,10Xv3,f,200,0.2889373838555925,0.7752741908969513,0.31243637143010233,0.9260847196021266
f_250_10Xv3,10Xv3,f,250,0.11929705526360287,0.618733293654456,0.24288699565986177,0.898742554599603
f_300_10Xv3,10Xv3,f,300,0.11889546447903598,0.6308324411028994,0.24395863473182233,0.9011640676477048
chi2_20_10Xv3,10Xv3,chi2,20,0.18274851202787518,0.47769068019104804,0.11187911911268285,0.9406130268199234
chi2_50_10Xv3,10Xv3,chi2,50,0.049240449934030824,0.5009966688381966,0.2081658897283395,0.9451737451737452
chi2_80_10Xv3,10Xv3,chi2,80,0.05031891482305041,0.5582943428966268,0.21041633177945668,0.9337916984975808
chi2_100_10Xv3,10Xv3,chi2,100,0.13449525031585158,0.5777106038106657,0.23704656271767668,0.9113924050632911
chi2_150_10Xv3,10Xv3,chi2,150,0.10530999020237967,0.6038416779590047,0.24626265873653752,0.9055700609225413
chi2_200_10Xv3,10Xv3,chi2,200,0.1061982731133058,0.6195554963655813,0.25424636982264376,0.9049525816649104
chi2_250_10Xv3,10Xv3,chi2,250,0.10648553750412959,0.6282507367134047,0.26056904034721107,0.9093152375077113
chi2_300_10Xv3,10Xv3,chi2,300,0.10141122677682803,0.6332893361145895,0.26281948239832825,0.9111111111111111
MATTE_20_10Xv3,10Xv3,MATTE,20,0.21847854054823324,0.5777532121259947,0.2230080908749933,0.9070158577606919
MATTE_50_10Xv3,10Xv3,MATTE,50,0.3477031910384758,0.7942185750426173,0.5052242404758077,0.9287305122494433
MATTE_80_10Xv3,10Xv3,MATTE,80,0.333722705754792,0.8525252655574121,0.6951186840272197,0.9248439065751947
MATTE_100_10Xv3,10Xv3,MATTE,100,0.3336038191692142,0.8315349458133028,0.709157155869903,0.9285228560634681
MATTE_150_10Xv3,10Xv3,MATTE,150,0.34356074313580276,0.9120807527729462,0.6897604886674168,0.9352909189777052
MATTE_200_10Xv3,10Xv3,MATTE,200,0.309417578963111,0.9270301540594935,0.6875636285698976,0.9364869077306733
MATTE_250_10Xv3,10Xv3,MATTE,250,0.32100158991831523,0.9290479880607566,0.6973155441247388,0.937682495773782
MATTE_300_10Xv3,10Xv3,MATTE,300,0.3272963378772074,0.9260125205634718,0.682687670792477,0.9372890667922456
NB_20_10Xv3,10Xv3,NB,20,0.03942401121739886,,0.0,
NB_50_10Xv3,10Xv3,NB,50,0.048069810688091436,0.4996699669966997,0.04061512082730536,0.9986807387862797
NB_80_10Xv3,10Xv3,NB,80,0.048187759926477856,1.0,0.03836467877618818,1.0
NB_100_10Xv3,10Xv3,NB,100,0.04729023412566733,1.0,0.03198842629802283,1.0
NB_150_10Xv3,10Xv3,NB,150,0.04788241500185386,1.0,0.038418260729786206,1.0
NB_200_10Xv3,10Xv3,NB,200,0.0480241872653609,0.6664421997755331,0.04302630873921663,0.9987546699875467
NB_250_10Xv3,10Xv3,NB,250,0.04818595802009024,1.0,0.04216899748164818,1.0
NB_300_10Xv3,10Xv3,NB,300,0.049160015690854014,0.6664495114006516,0.04479451320795156,0.9988038277511961
M3_20_10Xv3,10Xv3,M3,20,0.19589311050052635,0.6003707926377491,0.1857150511707657,0.9209463358338142
M3_50_10Xv3,10Xv3,M3,50,0.013051737982876637,0.551305207042079,0.23292075229062853,0.9325971934667587
M3_80_10Xv3,10Xv3,M3,80,0.013322432853826057,0.5490995970152927,0.2465841504581257,0.9219904389395914
M3_100_10Xv3,10Xv3,M3,100,0.01528942031628934,0.5455827666922427,0.26067620425440713,0.8957862281603289
M3_150_10Xv3,10Xv3,M3,150,0.05372086522098048,0.5891811933868943,0.2340459733161871,0.9120879120879121
M3_200_10Xv3,10Xv3,M3,200,0.05656599319716388,0.5743680999221045,0.24358356105663612,0.9040915090189178
M3_250_10Xv3,10Xv3,M3,250,0.05777571023079688,0.5803856106527323,0.249048920323635,0.9042598967297762
M3_300_10Xv3,10Xv3,M3,300,0.06249431482056762,0.5792766536725084,0.24797728125167443,0.9027657735522904
HV_20_10Xv3,10Xv3,HV,20,0.007416178414780787,,0.0,
HV_50_10Xv3,10Xv3,HV,50,0.007588917397840464,,0.0,
HV_80_10Xv3,10Xv3,HV,80,0.011001712044829921,,0.0,
HV_100_10Xv3,10Xv3,HV,100,-0.003972261717262963,,0.0,
HV_150_10Xv3,10Xv3,HV,150,0.005211951762734724,,0.0,
HV_200_10Xv3,10Xv3,HV,200,0.0071738394740649015,,0.0,
HV_250_10Xv3,10Xv3,HV,250,-0.0017441196220350239,,0.0,
HV_300_10Xv3,10Xv3,HV,300,0.015976836506494653,1.0,0.00048223758238225364,1.0
zscore_20_10Xv3,10Xv3,zscore,20,0.17647509920142862,0.3048491247774268,0.13722338316455018,0.8941819601718078
zscore_50_10Xv3,10Xv3,zscore,50,0.1658307017173004,0.40100432088236965,0.15383378877993892,0.9087425983977708
zscore_80_10Xv3,10Xv3,zscore,80,0.17169848319857067,0.423817614931669,0.17328403793602315,0.9158936301793444
zscore_100_10Xv3,10Xv3,zscore,100,0.16730000163189526,0.44319586226707725,0.19327010662808766,0.9126698087052952
zscore_150_10Xv3,10Xv3,zscore,150,0.1694041594129839,0.44825765280916524,0.19498472914322457,0.9153613630118165
zscore_200_10Xv3,10Xv3,zscore,200,0.17258768845252248,0.45263310868101997,0.20768365214595724,0.9140866873065016
zscore_250_10Xv3,10Xv3,zscore,250,0.1731690363611421,0.4515457349170033,0.21202379038739752,0.9133181703310589
zscore_300_10Xv3,10Xv3,zscore,300,0.12002860288608626,0.46115806813250443,0.20639768525960456,0.9156282450674974
ENT_20_10Xv3,10Xv3,ENT,20,0.1442186608590033,0.29185548003021017,0.020521888228044793,0.8433420365535248
ENT_50_10Xv3,10Xv3,ENT,50,0.1715452267528368,0.708187335665782,0.16149600814445694,0.9094226940942269
ENT_80_10Xv3,10Xv3,ENT,80,0.22745608141446305,0.6984743324550245,0.22172212398864063,0.8948767520541324
ENT_100_10Xv3,10Xv3,ENT,100,0.2271077274953287,0.6961420189962549,0.22102555859186626,0.8940606060606061
ENT_150_10Xv3,10Xv3,ENT,150,0.227462936596169,0.6960632440490458,0.2171140759792102,0.8931391905231985
ENT_200_10Xv3,10Xv3,ENT,200,0.2257986543912765,0.6959257440623364,0.21861437067995498,0.8933823529411765
ENT_250_10Xv3,10Xv3,ENT,250,0.22682271027712933,0.6970960472268514,0.21802496919037667,0.8935856475792578
ENT_300_10Xv3,10Xv3,ENT,300,0.22592351544557268,0.6969026582793628,0.21797138723677864,0.893559488692232
f_20_CEL-Seq,CEL-Seq,f,20,0.16279794764859482,0.5875260100759044,0.14520736352094796,0.9216757741347905
f_50_CEL-Seq,CEL-Seq,f,50,0.2608325821274886,0.710099319538735,0.3306178586542531,0.92768
f_80_CEL-Seq,CEL-Seq,f,80,0.27566507915263794,0.7769660424921169,0.3116271688531528,0.923103038533356
f_100_CEL-Seq,CEL-Seq,f,100,0.27519949941846067,0.789901413517094,0.3006771053745239,0.9245249824067558
f_150_CEL-Seq,CEL-Seq,f,150,0.2651026555211095,0.7935969938635724,0.2949640287769784,0.9209110473457676
f_200_CEL-Seq,CEL-Seq,f,200,0.26676625050680747,0.8013726418288997,0.29168429961912823,0.9240116068190062
f_250_CEL-Seq,CEL-Seq,f,250,0.11476973339314778,0.6894345281228084,0.23011002962336013,0.9101149425287356
f_300_CEL-Seq,CEL-Seq,f,300,0.11511658292371015,0.6937320269622228,0.2345006347862886,0.9086397473494248
chi2_20_CEL-Seq,CEL-Seq,chi2,20,0.183038410149889,0.47160017039036534,0.1136267456622937,0.9269087523277467
chi2_50_CEL-Seq,CEL-Seq,chi2,50,0.049282024726407685,0.5100194597531408,0.20979686838764283,0.9427634896621281
chi2_80_CEL-Seq,CEL-Seq,chi2,80,0.05085860778459956,0.58033000431612,0.21154253068133727,0.9319829957489373
chi2_100_CEL-Seq,CEL-Seq,chi2,100,0.1277304076750357,0.6225276830263874,0.2329136690647482,0.9161935044287985
chi2_150_CEL-Seq,CEL-Seq,chi2,150,0.10431559145350648,0.6467580018053566,0.23984341938214135,0.9113365681517424
chi2_200_CEL-Seq,CEL-Seq,chi2,200,0.10523843092544247,0.6727700174350143,0.25174566229369444,0.9102752679134272
chi2_250_CEL-Seq,CEL-Seq,chi2,250,0.10621450699233415,0.6752262323006235,0.2580935251798561,0.9098175855708137
chi2_300_CEL-Seq,CEL-Seq,chi2,300,0.10064100576570037,0.683603521313154,0.25983918747355056,0.9110342019543974
MATTE_20_CEL-Seq,CEL-Seq,MATTE,20,0.21647726196083864,0.5760600242612024,0.22497884045704614,0.894897719256995
MATTE_50_CEL-Seq,CEL-Seq,MATTE,50,0.34873957876711154,0.7975882482920924,0.5123254337706306,0.9225606608156943
MATTE_80_CEL-Seq,CEL-Seq,MATTE,80,0.3375471009537322,0.8472589433101364,0.6793271265340669,0.9205731194517988
MATTE_100_CEL-Seq,CEL-Seq,MATTE,100,0.3359331268772926,0.8381760585686959,0.684775708844689,0.9231363460795674
MATTE_150_CEL-Seq,CEL-Seq,MATTE,150,0.34527560027110055,0.90277022897043,0.6764176893779095,0.9293814029874091
MATTE_200_CEL-Seq,CEL-Seq,MATTE,200,0.31317199377682,0.9187238880738017,0.6650973338975879,0.9310427105702697
MATTE_250_CEL-Seq,CEL-Seq,MATTE,250,0.3267236116067307,0.9203182663436594,0.6859923825645367,0.9331431215299199
MATTE_300_CEL-Seq,CEL-Seq,MATTE,300,0.33084414768638587,0.9121325935621915,0.6719212865002115,0.9332388600220438
NB_20_CEL-Seq,CEL-Seq,NB,20,0.03516699428282103,,0.0,
NB_50_CEL-Seq,CEL-Seq,NB,50,0.04788079646664607,1.0,0.03782268303004655,1.0
NB_80_CEL-Seq,CEL-Seq,NB,80,0.048626290151722304,1.0,0.038404570461278036,1.0
NB_100_CEL-Seq,CEL-Seq,NB,100,0.04638119243214028,1.0,0.03708209902666102,1.0
NB_150_CEL-Seq,CEL-Seq,NB,150,0.047390265491595536,1.0,0.03581252644942869,1.0
NB_200_CEL-Seq,CEL-Seq,NB,200,0.04768558009593285,0.6664478003939593,0.04353575962759204,0.9987849331713244
NB_250_CEL-Seq,CEL-Seq,NB,250,0.047668362390827335,1.0,0.00872831146847228,1.0
NB_300_CEL-Seq,CEL-Seq,NB,300,0.04804493047194227,1.0,0.04089081675835802,1.0
M3_20_CEL-Seq,CEL-Seq,M3,20,0.1932849614812569,0.5991137069808018,0.2047185780787135,0.9020671834625323
M3_50_CEL-Seq,CEL-Seq,M3,50,0.012564720748992994,0.5675129741308981,0.23656369022429116,0.9282200357781754
M3_80_CEL-Seq,CEL-Seq,M3,80,0.01317038352945806,0.5724134138303053,0.2519043588658485,0.9204115917681647
M3_100_CEL-Seq,CEL-Seq,M3,100,0.015037317877664063,0.5799653750786268,0.2638066017774016,0.9001403649488671
M3_150_CEL-Seq,CEL-Seq,M3,150,0.05202646750870049,0.6024716975811437,0.23243757934828607,0.9103322712790168
M3_200_CEL-Seq,CEL-Seq,M3,200,0.05575446560404961,0.6063882026938116,0.23555861193398223,0.9016393442622951
M3_250_CEL-Seq,CEL-Seq,M3,250,0.05498249106835555,0.6153210799913146,0.23936732966567922,0.9018784530386741
M3_300_CEL-Seq,CEL-Seq,M3,300,0.05686422083966828,0.6225380778986246,0.23799195937367754,0.9053122916203601
HV_20_CEL-Seq,CEL-Seq,HV,20,0.003280028893702143,,0.0,
HV_50_CEL-Seq,CEL-Seq,HV,50,0.010211184139912441,,0.0,
HV_80_CEL-Seq,CEL-Seq,HV,80,0.010986991867470658,,0.0,
HV_100_CEL-Seq,CEL-Seq,HV,100,0.004557068038698928,,0.0,
HV_150_CEL-Seq,CEL-Seq,HV,150,-0.0035812076613212416,,0.0,
HV_200_CEL-Seq,CEL-Seq,HV,200,0.007192271096132043,,0.0,
HV_250_CEL-Seq,CEL-Seq,HV,250,-0.0017917004891381879,1.0,0.0004760897164621244,1.0
HV_300_CEL-Seq,CEL-Seq,HV,300,0.015499535151377062,0.8850574712643677,0.004866694879390605,0.9782608695652174
zscore_20_CEL-Seq,CEL-Seq,zscore,20,0.17479102279080405,0.29732593459078654,0.1769995768091409,0.8759713090257023
zscore_50_CEL-Seq,CEL-Seq,zscore,50,0.1641360090951635,0.3943899821904164,0.19308082945408378,0.8893150684931507
zscore_80_CEL-Seq,CEL-Seq,zscore,80,0.1688836003969706,0.4098815483130797,0.2109077443927211,0.8966641585151743
zscore_100_CEL-Seq,CEL-Seq,zscore,100,0.1668345781187157,0.4420397584140612,0.23058611933982226,0.888735948612067
zscore_150_CEL-Seq,CEL-Seq,zscore,150,0.16778527997743567,0.4526035429068627,0.2353999153618282,0.8896629213483146
zscore_200_CEL-Seq,CEL-Seq,zscore,200,0.16963244276838346,0.4490390393296906,0.24661447312738044,0.8863148863148863
zscore_250_CEL-Seq,CEL-Seq,zscore,250,0.17002998464350594,0.4517161717522253,0.25153406686415575,0.8860147213459516
zscore_300_CEL-Seq,CEL-Seq,zscore,300,0.11830578835642425,0.4516040712607213,0.24571519255184088,0.8902045209903121
ENT_20_CEL-Seq,CEL-Seq,ENT,20,0.13966189012786157,0.3342396591805175,0.025074058400338554,0.79957805907173
ENT_50_CEL-Seq,CEL-Seq,ENT,50,0.16706777144129564,0.7052043055559394,0.1583791790097334,0.8820975283901136
ENT_80_CEL-Seq,CEL-Seq,ENT,80,0.2184185719338018,0.7116900365580806,0.19731273804485824,0.8758713136729223
ENT_100_CEL-Seq,CEL-Seq,ENT,100,0.2186207925337331,0.7113022114697967,0.193874312314854,0.8766712141882674
ENT_150_CEL-Seq,CEL-Seq,ENT,150,0.2186367672635169,0.7115769951289211,0.19466779517562421,0.8771739130434782
ENT_200_CEL-Seq,CEL-Seq,ENT,200,0.21867216973283626,0.7117774386276441,0.19487939060516293,0.8775787187839305
ENT_250_CEL-Seq,CEL-Seq,ENT,250,0.2185632911510734,0.7123247847239557,0.19450909860347015,0.8776176230622791
ENT_300_CEL-Seq,CEL-Seq,ENT,300,0.21871718219972475,0.7129393138105097,0.19487939060516293,0.8778501628664495
f_20_Drop-Seq,Drop-Seq,f,20,0.16014134894069368,0.5985829416806293,0.11962625425757158,0.9395921508272412
f_50_Drop-Seq,Drop-Seq,f,50,0.23713094795287237,0.6936135972151637,0.30396759642824267,0.9392792247122955
f_80_Drop-Seq,Drop-Seq,f,80,0.24876926200044633,0.7576125779784797,0.3147381018134954,0.9309739689967826
f_100_Drop-Seq,Drop-Seq,f,100,0.24697314722657426,0.7847521293031896,0.3097210715272024,0.9313419527418636
f_150_Drop-Seq,Drop-Seq,f,150,0.23632045536272844,0.7654151891204855,0.2976157599189911,0.9245283018867925
f_200_Drop-Seq,Drop-Seq,f,200,0.2356445947644661,0.7774323031311039,0.2966952039031575,0.9283276450511946
f_250_Drop-Seq,Drop-Seq,f,250,0.11117154835685152,0.6146395279196791,0.221393721807972,0.901039501039501
f_300_Drop-Seq,Drop-Seq,f,300,0.1113700843818826,0.6295986336752477,0.2237411396483476,0.9035177946924501
chi2_20_Drop-Seq,Drop-Seq,chi2,20,0.16427975809064002,0.4770189386062265,0.09771702108073277,0.9444182760244937
chi2_50_Drop-Seq,Drop-Seq,chi2,50,0.03835171587351571,0.5290218954304232,0.17854183927091963,0.945604537251869
chi2_80_Drop-Seq,Drop-Seq,chi2,80,0.04071602364727501,0.5631720841102253,0.18342078615483753,0.9327478042659975
chi2_100_Drop-Seq,Drop-Seq,chi2,100,0.11259051920661811,0.5762753456708577,0.20915032679738563,0.9121919014084507
chi2_150_Drop-Seq,Drop-Seq,chi2,150,0.10067607183119917,0.5995122568089397,0.21807972015097118,0.906289573659772
chi2_200_Drop-Seq,Drop-Seq,chi2,200,0.10115746032308894,0.6144219453102702,0.22889625333701555,0.9052885582143575
chi2_250_Drop-Seq,Drop-Seq,chi2,250,0.10022779972381865,0.620597455316947,0.23667495167080918,0.9103461688059121
chi2_300_Drop-Seq,Drop-Seq,chi2,300,0.09743150349025222,0.6255477568434281,0.23667495167080918,0.912485414235706
MATTE_20_Drop-Seq,Drop-Seq,MATTE,20,0.19489227628552228,0.5763236303220519,0.19267237411396484,0.9128045867176302
MATTE_50_Drop-Seq,Drop-Seq,MATTE,50,0.3268231456239011,0.7915550517243345,0.4964558593390408,0.9307435564620805
MATTE_80_Drop-Seq,Drop-Seq,MATTE,80,0.2818719021373141,0.8627907623659067,0.7081377151799687,0.9275918102047449
MATTE_100_Drop-Seq,Drop-Seq,MATTE,100,0.28801656825251076,0.8609832319213383,0.7139372180797201,0.9328218683514925
MATTE_150_Drop-Seq,Drop-Seq,MATTE,150,0.2750668079303858,0.9263031329155872,0.703811101905551,0.9378719508207443
MATTE_200_Drop-Seq,Drop-Seq,MATTE,200,0.32302869601763023,0.9342131292020369,0.6848476479793796,0.9394448551649976
MATTE_250_Drop-Seq,Drop-Seq,MATTE,250,0.27598759909203574,0.932721441036641,0.6990702384240081,0.9393600210692652
MATTE_300_Drop-Seq,Drop-Seq,MATTE,300,0.34035170049242036,0.9335324981993615,0.6972751541931327,0.9410522146676348
NB_20_Drop-Seq,Drop-Seq,NB,20,0.0306590098174821,,0.0,
NB_50_Drop-Seq,Drop-Seq,NB,50,0.041456291162065846,1.0,0.0023934456411672652,1.0
NB_80_Drop-Seq,Drop-Seq,NB,80,0.0418120911708595,1.0,0.03295590536684157,1.0
NB_100_Drop-Seq,Drop-Seq,NB,100,0.04004534402323949,1.0,0.0046488078799594955,1.0
NB_150_Drop-Seq,Drop-Seq,NB,150,0.041148660968670585,1.0,0.03281782196446654,1.0
NB_200_Drop-Seq,Drop-Seq,NB,200,0.04111174256383265,1.0,0.036776212832550864,1.0
NB_250_Drop-Seq,Drop-Seq,NB,250,0.04126095501918004,1.0,0.0037742796649176103,1.0
NB_300_Drop-Seq,Drop-Seq,NB,300,0.04203200230459537,1.0,0.029043542299548926,1.0
M3_20_Drop-Seq,Drop-Seq,M3,20,0.1717886267028842,0.600270092162141,0.15796741231703948,0.9213286713286714
M3_50_Drop-Seq,Drop-Seq,M3,50,0.010768539306314289,0.5481551635602082,0.20192396207309216,0.9307043537725097
